NEW_ACCOUNT,NEW_LICNO,OLD_ACCOUNT,OLD_LICNO,LICENSEE,SERVICE,TRANSMIT_FREQ,RECEIVE_FREQ,TRANSMIT_LOWER,TRANSMIT_UPPER,TRANSMIT_BW,LOCATION,PROV,LATITUDE,LONGITUDE,SITE_ELEV,STUCT_HT,TX_MFR,TX_MODEL,TX_PWR,TX_PWR_TYPE,BW_EMISSION,TX_ANT_MFR,TX_ANT_MODEL,TX_ANT_HT,TX_ANT_AZIM,TX_ANT_ELEV_ANGLE,TX_ANT_GAIN,TX_ANT_DIRECTIONAL,TX_LINE_LOSS,ZONE_ENHANCER,LAST_MOD_DATE,LAST_UPLOAD_DATE
007091902581,010284363-001,91902581,5113376,TELUS Communications Company,PCS,1882.5,1962.5,1880,1885,5,Portage La Prairie - Hwy 1/Rd,MB,49.9478,-98.0089,1,70,ZZ,HUAWEI,20,I,5K00HSPA,ZZ,742218,70,10,3,1,N,1,N,10-JAN-16,02-FEB-16
007091902581,010284363-001,91902581,5113376,TELUS Communications Company,PCS,1882.5,1962.5,1880,1885,5,Portage La Prairie - Hwy 1/Rd,MB,49.9478,-98.0089,1,70,ZZ,HUAWEI,20,I,5K00HSPA,ZZ,742218,70,100,3,1,N,1,N,10-JAN-16,02-FEB-16
007091902581,010284363-001,91902581,5113376,TELUS Communications Company,PCS,1882.5,1962.5,1880,1885,5,Portage La Prairie - Hwy 1/Rd,MB,49.9478,-98.0089,1,70,ZZ,HUAWEI,20,I,5K00HSPA,ZZ,742218,70,190,3,1,N,1,N,10-JAN-16,02-FEB-16
007091902581,010284363-001,91902581,5113376,TELUS Communications Company,PCS,1882.5,1962.5,1880,1885,5,Portage La Prairie - Hwy 1/Rd,MB,49.9478,-98.0089,1,70,ZZ,HUAWEI,20,I,5K00HSPA,ZZ,742218,70,290,3,1,N,1,N,10-JAN-16,02-FEB-16
007091902581,010284363-001,91902581,5113376,TELUS Communications Company,PCS,1882.5,1962.5,1880,1885,5,Cartier - Hwy 1/Rd 332 - 29 Da,MB,49.8839,-97.6422,1,70,ZZ,HUAWEI,20,I,5K00HSPA,ZZ,742218,70,10,3,1,N,1,N,10-JAN-16,02-FEB-16
007091902581,010284363-001,91902581,5113376,TELUS Communications Company,PCS,1882.5,1962.5,1880,1885,5,Cartier - Hwy 1/Rd 332 - 29 Da,MB,49.8839,-97.6422,1,70,ZZ,HUAWEI,20,I,5K00HSPA,ZZ,742218,70,90,3,1,N,1,N,10-JAN-16,02-FEB-16
007091902581,010284363-001,91902581,5113376,TELUS Communications Company,PCS,1882.5,1962.5,1880,1885,5,Cartier - Hwy 1/Rd 332 - 29 Da,MB,49.8839,-97.6422,1,70,ZZ,HUAWEI,20,I,5K00HSPA,ZZ,742218,70,290,3,1,N,1,N,10-JAN-16,02-FEB-16
007091902581,010284363-001,91902581,5113376,TELUS Communications Company,PCS,1882.5,1962.5,1880,1885,5,Cartier - Hwy 1/Rd 248 - Part,MB,49.9108,-97.8028,1,70,ZZ,HUAWEI,20,I,5K00HSPA,ZZ,742218,70,10,3,1,N,1,N,10-JAN-16,02-FEB-16
007091902581,010284363-001,91902581,5113376,TELUS Communications Company,PCS,1882.5,1962.5,1880,1885,5,Cartier - Hwy 1/Rd 248 - Part,MB,49.9108,-97.8028,1,70,ZZ,HUAWEI,20,I,5K00HSPA,ZZ,742218,70,100,3,1,N,1,N,10-JAN-16,02-FEB-16
007091902581,010284363-001,91902581,5113376,TELUS Communications Company,PCS,1882.5,1962.5,1880,1885,5,Cartier - Hwy 1/Rd 332 - 29 Da,MB,49.8839,-97.6422,1,70,ZZ,HUAWEI,20,I,5K00HSPA,ZZ,742218,70,190,3,1,N,1,N,10-JAN-16,02-FEB-16
007091902581,010284363-001,91902581,5113376,TELUS Communications Company,PCS,1882.5,1962.5,1880,1885,5,Cartier - Hwy 1/Rd 248 - Part,MB,49.9108,-97.8028,1,70,ZZ,HUAWEI,20,I,5K00HSPA,ZZ,742218,70,190,3,1,N,1,N,10-JAN-16,02-FEB-16
007091902581,010284363-001,91902581,5113376,TELUS Communications Company,PCS,1882.5,1962.5,1880,1885,5,Cartier - Hwy 1/Rd 248 - Part,MB,49.9108,-97.8028,1,70,ZZ,HUAWEI,20,I,5K00HSPA,ZZ,742218,70,290,3,1,N,1,N,10-JAN-16,02-FEB-16
007091901349,010285833-001,91901349,5113317,Rogers Communications Canada Inc.,PCS,1972,1892,1972,,0.2,"W1439-NE 1/4, 6-11-2-WPM",MB,49.9006,-97.7128,240,90.4,B8,RBS-2206,89.13,I,200KG7D,H8,DAP_09000_1900MHz,90.4,105,0,14.2,D,5.6,N,25-MAY-16,30-MAY-16
