NEW_ACCOUNT,NEW_LICNO,OLD_ACCOUNT,OLD_LICNO,LICENSEE,SERVICE,TRANSMIT_FREQ,RECEIVE_FREQ,TRANSMIT_LOWER,TRANSMIT_UPPER,TRANSMIT_BW,LOCATION,PROV,LATITUDE,LONGITUDE,SITE_ELEV,STUCT_HT,TX_MFR,TX_MODEL,TX_PWR,TX_PWR_TYPE,BW_EMISSION,TX_ANT_MFR,TX_ANT_MODEL,TX_ANT_HT,TX_ANT_AZIM,TX_ANT_ELEV_ANGLE,TX_ANT_GAIN,TX_ANT_DIRECTIONAL,TX_LINE_LOSS,ZONE_ENHANCER,LAST_MOD_DATE,LAST_UPLOAD_DATE
007090900823,010282901-001,90900823,5163668,TELUS Communications Company,MBS,707,737,704,710,6,Winnipeg - Portage/Kenaston -,MB,49.8778,-97.2044,1,52,ZZ,HUAWEI,20,I,5K00LTE,ZZ,5NPX1006F,50.2,345,,1,N,1,N,10-JAN-16,02-FEB-16
007090900823,010282901-001,90900823,5163668,TELUS Communications Company,MBS,707,737,704,710,6,Winnipeg - Portage/Kenaston -,MB,49.8778,-97.2044,1,52,ZZ,HUAWEI,20,I,5K00LTE,ZZ,UNNPX306R3-6P,52,170,8,1,N,1,N,10-JAN-16,02-FEB-16
007090900823,010282901-001,90900823,5163668,TELUS Communications Company,MBS,707,737,704,710,6,Winnipeg - Portage/Kenaston -,MB,49.8778,-97.2044,1,52,ZZ,HUAWEI,20,I,5K00LTE,ZZ,UNNPX306R3-6P,52,265,8,1,N,1,N,10-JAN-16,02-FEB-16
007090900823,010282901-001,90900823,5163668,TELUS Communications Company,MBS,707,737,704,710,6,Winnipeg - Portage/Kenaston -,MB,49.8778,-97.2044,1,52,ZZ,HUAWEI,20,I,5K00LTE,ZZ,5NPX1006F,50.2,0,,1,N,1,N,10-JAN-16,02-FEB-16
007090900823,010282901-001,90900823,5163668,TELUS Communications Company,MBS,707,737,704,710,6,Winnipeg - Portage/Kenaston -,MB,49.8778,-97.2044,1,52,ZZ,HUAWEI,20,I,5K00LTE,ZZ,5NPX1006F,50.2,20,,1,N,1,N,10-JAN-16,02-FEB-16
007090900823,010282901-001,90900823,5163668,TELUS Communications Company,MBS,707,737,704,710,6,Winnipeg - Portage/Kenaston -,MB,49.8778,-97.2044,1,52,ZZ,HUAWEI,20,I,5K00LTE,ZZ,5NPX1006F,50.2,35,,1,N,1,N,10-JAN-16,02-FEB-16
007090900823,010282901-001,90900823,5163668,TELUS Communications Company,MBS,707,737,704,710,6,Winnipeg - Munroe/Watt - 505 M,MB,49.9178,-97.0978,1,45.3,ZZ,HUAWEI,20,I,5K00LTE,ZZ,UNNPX306R3-6P,45.3,109,3,1,N,1,N,10-JAN-16,02-FEB-16
007090900823,010282901-001,90900823,5163668,TELUS Communications Company,MBS,707,737,704,710,6,Winnipeg - Munroe/Watt - 505 M,MB,49.9178,-97.0978,1,45.3,ZZ,HUAWEI,20,I,5K00LTE,ZZ,BSA-M65-19R010-02,45.3,208,3,1,N,1,N,10-JAN-16,02-FEB-16
007090900823,010282901-001,90900823,5163668,TELUS Communications Company,MBS,707,737,704,710,6,Winnipeg - Munroe/Watt - 505 M,MB,49.9178,-97.0978,1,45.3,ZZ,HUAWEI,20,I,5K00LTE,ZZ,UNNPX306R3-6P,40.7,348,4,1,N,1,N,10-JAN-16,02-FEB-16
007090900823,010282901-001,90900823,5163668,TELUS Communications Company,MBS,707,737,704,710,6,Winnipeg - Dakota/Chesterfield,MB,49.8342,-97.1106,1,40.1,ZZ,HUAWEI,20,I,5K00LTE,ZZ,UNNPX306R3-6P,35,20,3,1,N,1,N,10-JAN-16,02-FEB-16
007090900823,010282901-001,90900823,5163668,TELUS Communications Company,MBS,707,737,704,710,6,Winnipeg - Dakota/Chesterfield,MB,49.8342,-97.1106,1,40.1,ZZ,HUAWEI,20,I,5K00LTE,ZZ,UNNPX306R3-6P,40.1,120,2,1,N,1,N,10-JAN-16,02-FEB-16
007090900823,010282901-001,90900823,5163668,TELUS Communications Company,MBS,707,737,704,710,6,Winnipeg - Dakota/Chesterfield,MB,49.8342,-97.1106,1,40.1,ZZ,HUAWEI,20,I,5K00LTE,ZZ,UNNPX306R3-6P,40.1,240,5,1,N,1,N,10-JAN-16,02-FEB-16
007090900823,010282901-001,90900823,5163668,TELUS Communications Company,MBS,707,737,704,710,6,Winnipeg - St Mary's Rd/Perime,MB,49.7956,-97.1103,1,66,ZZ,HUAWEI,20,I,5K00LTE,ZZ,UNNPX306R3-6P,66,35,4,1,N,1,N,10-JAN-16,02-FEB-16
007090900823,010282901-001,90900823,5163668,TELUS Communications Company,MBS,707,737,704,710,6,Winnipeg - Cumberland - 461 Cu,MB,49.8981,-97.1506,1,26.5,ZZ,HUAWEI,20,I,5K00LTE,ZZ,ADFD1820-33B-A2M,26.5,337,5,1,N,1,N,10-JAN-16,02-FEB-16
007090900823,010282901-001,90900823,5163668,TELUS Communications Company,MBS,707,737,704,710,6,Winnipeg - Munroe/Watt - 505 M,MB,49.9178,-97.0978,1,45.3,ZZ,HUAWEI,20,I,5K00LTE,ZZ,BSA-M65-19R010-02,45.3,252,3,1,N,1,N,10-JAN-16,02-FEB-16
007090900823,010282901-001,90900823,5163668,TELUS Communications Company,MBS,707,737,704,710,6,Winnipeg - Cumberland - 461 Cu,MB,49.8981,-97.1506,1,26.5,ZZ,HUAWEI,20,I,5K00LTE,ZZ,ADFD1820-33B-A2M,26.5,208,7,1,N,1,N,10-JAN-16,02-FEB-16
